IA_Name,Mode,Action,TargetType,TargetId,Detail
IA-0000147041,ModeB,SET_ADDRESS_PENDING,Address,130UW00000YELLxYAP,St. Joseph's Medical Group, PC (703 Main St-2000)
IA-0000147092,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000147196,ModeB,SET_ADDRESS_PENDING,Address,130UW00000MMygqYAD,Professional Therapy Associates(2557 Hooper Ave-3711)
IA-0000147215,ModeB,SET_ADDRESS_PENDING,Address,130UW00000MMygqYAD,Professional Therapy Associates(2557 Hooper Ave-3711)
IA-0000147236,ModeB,SET_ADDRESS_PENDING,Address,130UW00000MMygqYAD,Professional Therapy Associates(2557 Hooper Ave-3711)
IA-0000147312,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000XZTd2AO,Allied Autism Grp (19 Glenview Dr-4576)
IA-0000147369,ModeB,SET_ADDRESS_PENDING,Address,130UW00000V780dYAB,HMHMG Specialty Care (1945 Route 33-4949)
IA-0000147386,ModeB,SET_ADDRESS_PENDING,Address,130UW00000MMygqYAD,Professional Therapy Associates(2557 Hooper Ave-3711)
IA-0000147407,ModeB,SET_ADDRESS_PENDING,Address,130UW00000MMygqYAD,Professional Therapy Associates(2557 Hooper Ave-3711)
IA-0000147414,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000Xbf72AC,Garden State Healthcare Assoc Llc(308 Willow Ave-1000)
IA-0000147416,ModeB,SET_ADDRESS_PENDING,Address,130UW00000WLObBYAX,Barnabas Health Medical Group, P.C. South (2177 Oak Tree Rd Ste 210-2100)
IA-0000147597,ModeB,SET_ADDRESS_PENDING,Address,130UW00000aESAzYAO,Isaac Health PC (377 Valley Rd # 1301-2059)
IA-0000147609,ModeB,SET_ADDRESS_PENDING,Address,130UW00000dm4pGYAQ,New Jersey Birdie Health, P.C. (4905 W Tilghman St. Suite 300-0060)
IA-0000147612,ModeB,SET_ADDRESS_PENDING,Address,130UW00000aESAzYAO,Isaac Health PC (377 Valley Rd # 1301-2059)
IA-0000147936,ModeB,SET_ADDRESS_PENDING,Address,130UW00000T8bT7YAJ,READY SET REHAB LLC (32 Howard St-5513)
